Energy_carrier,Sector,Subsector,Application,pypsa_carrier,comment,action_comment
Fuel oil,Industrie,Paper industry,Process heat (industrial furnaces),oil,,
Fuel oil,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),oil,,
Fuel oil,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,oil,,
Fuel oil,Industrie,Processing of stone and earth (non-metallic mineral processing),Space heating,oil,,
Fuel oil,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),oil,,
Fuel oil,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),oil,,
Fuel oil,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,oil,,
Fuel oil,Industrie,Quarrying of stone and earth; other mining,Space heating,oil,,
Fuel oil,Industrie,Rubber and plastic products,Process heat (steam),oil,,
Fuel oil,Industrie,Rubber and plastic products,Energy balance calibration,oil,,
Fuel oil,Industrie,Rubber and plastic products,Space heating,oil,,
Fuel oil,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),oil,,
Fuel oil,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,oil,,
Fuel oil,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Space heating,oil,,
Hydrogen,Industrie,Basic chemicals,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Basic chemicals,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Basic chemicals,Process heat (industrial furnaces),hydrogen,,
Hydrogen,Industrie,Basic chemicals,Raw material (feedstock) demand,hydrogen,,
Hydrogen,Industrie,Fabricated metal products (metalworking),Process heat (steam),hydrogen,,
Hydrogen,Industrie,Fabricated metal products (metalworking),Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Food and tobacco,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Food and tobacco,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Food and tobacco,Process heat (industrial furnaces),hydrogen,,
Hydrogen,Industrie,Glass and ceramics,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Glass and ceramics,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Glass and ceramics,Process heat (industrial furnaces),hydrogen,,
Hydrogen,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),hydrogen,,
Hydrogen,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Metallerzeugung ,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Metallerzeugung ,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Metallerzeugung ,Process heat (industrial furnaces),hydrogen,,
Hydrogen,Industrie,Non-ferrous metals and foundries,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Non-ferrous metals and foundries,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),hydrogen,,
Hydrogen,Industrie,Other chemical industry,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Other chemical industry,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Other chemical industry,Process heat (industrial furnaces),hydrogen,,
Hydrogen,Industrie,Other economic sectors,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Other economic sectors,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Paper industry,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Paper industry,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Paper industry,Process heat (industrial furnaces),hydrogen,,
Hydrogen,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),hydrogen,,
Hydrogen,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),hydrogen,,
Hydrogen,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Rubber and plastic products,Process heat (steam),hydrogen,,
Hydrogen,Industrie,Rubber and plastic products,Energy balance calibration,hydrogen,,
Hydrogen,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),hydrogen,,
Hydrogen,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,hydrogen,,
Naphtha,Industrie,Basic chemicals,Raw material (feedstock) demand,naphtha,,
Natural gas,Industrie,Basic chemicals,Process heat (steam),methane,,
Natural gas,Industrie,Basic chemicals,Energy balance calibration,methane,,
Natural gas,Industrie,Basic chemicals,Space heating,methane,,
Natural gas,Industrie,Basic chemicals,Process heat (industrial furnaces),methane,,
Natural gas,Industrie,Basic chemicals,Raw material (feedstock) demand,methane,,
Natural gas,Industrie,Fabricated metal products (metalworking),Process heat (steam),methane,,
Natural gas,Industrie,Fabricated metal products (metalworking),Energy balance calibration,methane,,
Natural gas,Industrie,Fabricated metal products (metalworking),Space heating,methane,,
Natural gas,Industrie,Food and tobacco,Process heat (steam),methane,,
Natural gas,Industrie,Food and tobacco,Energy balance calibration,methane,,
Natural gas,Industrie,Food and tobacco,Space heating,methane,,
Natural gas,Industrie,Food and tobacco,Process heat (industrial furnaces),methane,,
Natural gas,Industrie,Glass and ceramics,Process heat (steam),methane,,
Natural gas,Industrie,Glass and ceramics,Energy balance calibration,methane,,
Natural gas,Industrie,Glass and ceramics,Space heating,methane,,
Natural gas,Industrie,Glass and ceramics,Process heat (industrial furnaces),methane,,
Natural gas,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),methane,,
Natural gas,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,methane,,
Natural gas,Industrie,Machinery and equipment (mechanical engineering),Space heating,methane,,
Natural gas,Industrie,Metallerzeugung ,Process heat (steam),methane,,
Natural gas,Industrie,Metallerzeugung ,Energy balance calibration,methane,,
Natural gas,Industrie,Metallerzeugung ,Space heating,methane,,
Natural gas,Industrie,Metallerzeugung ,Process heat (industrial furnaces),methane,,
Natural gas,Industrie,Non-ferrous metals and foundries,Process heat (steam),methane,,
Natural gas,Industrie,Non-ferrous metals and foundries,Energy balance calibration,methane,,
Natural gas,Industrie,Non-ferrous metals and foundries,Space heating,methane,,
Natural gas,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),methane,,
Natural gas,Industrie,Other chemical industry,Process heat (steam),methane,,
Natural gas,Industrie,Other chemical industry,Energy balance calibration,methane,,
Natural gas,Industrie,Other chemical industry,Space heating,methane,,
Natural gas,Industrie,Other chemical industry,Process heat (industrial furnaces),methane,,
Natural gas,Industrie,Other economic sectors,Process heat (steam),methane,,
Natural gas,Industrie,Other economic sectors,Energy balance calibration,methane,,
Natural gas,Industrie,Other economic sectors,Space heating,methane,,
Natural gas,Industrie,Paper industry,Process heat (steam),methane,,
Natural gas,Industrie,Paper industry,Energy balance calibration,methane,,
Natural gas,Industrie,Paper industry,Space heating,methane,,
Natural gas,Industrie,Paper industry,Process heat (industrial furnaces),methane,,
Natural gas,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),methane,,
Natural gas,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,methane,,
Natural gas,Industrie,Processing of stone and earth (non-metallic mineral processing),Space heating,methane,,
Natural gas,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),methane,,
Natural gas,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),methane,,
Natural gas,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,methane,,
Natural gas,Industrie,Quarrying of stone and earth; other mining,Space heating,methane,,
Natural gas,Industrie,Rubber and plastic products,Process heat (steam),methane,,
Natural gas,Industrie,Rubber and plastic products,Energy balance calibration,methane,,
Natural gas,Industrie,Rubber and plastic products,Space heating,methane,,
Natural gas,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),methane,,
Natural gas,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,methane,,
Natural gas,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Space heating,methane,,
Other fossil,Industrie,Basic chemicals,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Basic chemicals,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Basic chemicals,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Other fossil,Industrie,Basic chemicals,Raw material (feedstock) demand,naphtha,double-check,
Other fossil,Industrie,Fabricated metal products (metalworking),Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Fabricated metal products (metalworking),Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Food and tobacco,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Food and tobacco,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Food and tobacco,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Other fossil,Industrie,Glass and ceramics,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Glass and ceramics,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Glass and ceramics,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Other fossil,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Metallerzeugung ,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Metallerzeugung ,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Metallerzeugung ,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Other fossil,Industrie,Non-ferrous metals and foundries,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Non-ferrous metals and foundries,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Other fossil,Industrie,Other chemical industry,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Other chemical industry,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Other chemical industry,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Other fossil,Industrie,Other economic sectors,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Other economic sectors,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Paper industry,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Paper industry,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Paper industry,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Other fossil,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Other fossil,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Rubber and plastic products,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Rubber and plastic products,Energy balance calibration,methane,drop for now,
Other fossil,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Other fossil,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,methane,drop for now,
Other RES,Industrie,Basic chemicals,Process heat (steam),solid biomass,,
Other RES,Industrie,Basic chemicals,Energy balance calibration,solid biomass,drop for now,
Other RES,Industrie,Basic chemicals,Process heat (industrial furnaces),solid biomass,,
Other RES,Industrie,Basic chemicals,Raw material (feedstock) demand,solid biomass,,
Other RES,Industrie,Fabricated metal products (metalworking),Process heat (steam),solid biomass,,
Other RES,Industrie,Fabricated metal products (metalworking),Energy balance calibration,solid biomass,,
Other RES,Industrie,Food and tobacco,Process heat (steam),solid biomass,,
Other RES,Industrie,Food and tobacco,Energy balance calibration,solid biomass,,
Other RES,Industrie,Food and tobacco,Process heat (industrial furnaces),solid biomass,,
Other RES,Industrie,Glass and ceramics,Process heat (steam),solid biomass,,
Other RES,Industrie,Glass and ceramics,Energy balance calibration,solid biomass,,
Other RES,Industrie,Glass and ceramics,Process heat (industrial furnaces),solid biomass,,
Other RES,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),solid biomass,,
Other RES,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,solid biomass,,
Other RES,Industrie,Metallerzeugung ,Process heat (steam),solid biomass,,
Other RES,Industrie,Metallerzeugung ,Energy balance calibration,solid biomass,,
Other RES,Industrie,Metallerzeugung ,Process heat (industrial furnaces),solid biomass,,
Other RES,Industrie,Non-ferrous metals and foundries,Process heat (steam),solid biomass,,
Other RES,Industrie,Non-ferrous metals and foundries,Energy balance calibration,solid biomass,,
Other RES,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),solid biomass,,
Other RES,Industrie,Other chemical industry,Process heat (steam),solid biomass,,
Other RES,Industrie,Other chemical industry,Energy balance calibration,solid biomass,,
Other RES,Industrie,Other chemical industry,Process heat (industrial furnaces),solid biomass,,
Other RES,Industrie,Other economic sectors,Process heat (steam),solid biomass,,
Other RES,Industrie,Other economic sectors,Energy balance calibration,solid biomass,,
Other RES,Industrie,Paper industry,Process heat (steam),solid biomass,,
Other RES,Industrie,Paper industry,Energy balance calibration,solid biomass,,
Other RES,Industrie,Paper industry,Process heat (industrial furnaces),solid biomass,,
Other RES,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),solid biomass,,
Other RES,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,solid biomass,,
Other RES,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),solid biomass,,
Other RES,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),solid biomass,,
Other RES,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,solid biomass,,
Other RES,Industrie,Rubber and plastic products,Process heat (steam),solid biomass,,
Other RES,Industrie,Rubber and plastic products,Energy balance calibration,solid biomass,,
Other RES,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),solid biomass,,
Other RES,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,solid biomass,,
Solar energy,Industrie,Basic chemicals,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Basic chemicals,Raw material (feedstock) demand,electricity,double-check,
Solar energy,Industrie,Fabricated metal products (metalworking),Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Food and tobacco,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Glass and ceramics,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Metallerzeugung ,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Non-ferrous metals and foundries,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Other chemical industry,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Other economic sectors,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Paper industry,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Rubber and plastic products,Energy balance calibration,electricity,double-check,
Solar energy,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,electricity,double-check,
Waste non-RES,Industrie,Basic chemicals,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Basic chemicals,Energy balance calibration,methane,,
Waste non-RES,Industrie,Basic chemicals,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Waste non-RES,Industrie,Basic chemicals,Raw material (feedstock) demand,naphtha,what are Waste non-RES for basic chemicals? Oil?,currently dropped
Waste non-RES,Industrie,Fabricated metal products (metalworking),Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Fabricated metal products (metalworking),Energy balance calibration,methane,,
Waste non-RES,Industrie,Food and tobacco,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Food and tobacco,Energy balance calibration,methane,,
Waste non-RES,Industrie,Food and tobacco,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Waste non-RES,Industrie,Glass and ceramics,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Glass and ceramics,Energy balance calibration,methane,,
Waste non-RES,Industrie,Machinery and equipment (mechanical engineering),Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Machinery and equipment (mechanical engineering),Energy balance calibration,methane,,
Waste non-RES,Industrie,Metallerzeugung ,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Metallerzeugung ,Energy balance calibration,methane,,
Waste non-RES,Industrie,Non-ferrous metals and foundries,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Non-ferrous metals and foundries,Energy balance calibration,methane,,
Waste non-RES,Industrie,Non-ferrous metals and foundries,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Waste non-RES,Industrie,Other chemical industry,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Other chemical industry,Energy balance calibration,methane,,
Waste non-RES,Industrie,Other chemical industry,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Waste non-RES,Industrie,Other economic sectors,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Other economic sectors,Energy balance calibration,methane,,
Waste non-RES,Industrie,Paper industry,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Paper industry,Energy balance calibration,methane,,
Waste non-RES,Industrie,Paper industry,Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Waste non-RES,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Processing of stone and earth (non-metallic mineral processing),Energy balance calibration,methane,,
Waste non-RES,Industrie,Processing of stone and earth (non-metallic mineral processing),Process heat (industrial furnaces),methane,Double-check (ISI originally dropped),
Waste non-RES,Industrie,Quarrying of stone and earth; other mining,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Quarrying of stone and earth; other mining,Energy balance calibration,methane,,
Waste non-RES,Industrie,Rubber and plastic products,Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Rubber and plastic products,Energy balance calibration,methane,,
Waste non-RES,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Process heat (steam),methane,assumption: all fossil process heat (steam) converted to methane,
Waste non-RES,Industrie,Vehicle manufacturing (motor vehicles and transport equipment),Energy balance calibration,methane,,
